INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,Month,Year,Week
CALIFORNIA AND DIVERSEY,1511.0,2800 N CALIFORNIA AVE,2015-09-04,5,1157189.355049829,1918495.644754069,41.932120719,-87.6977653,"(41.93212071910647, -87.69776530036465)",September,2015,36
OGDEN AND KOSTNER,2223.0,4400 W OGDEN AVENUE,2016-02-04,4,1147406.592439224,1887689.099869462,41.847777523,-87.734505969,"(41.84777752280453, -87.73450596874825)",February,2016,5
MONTROSE AND WESTERN,1221.0,4400 N WESTERN AVENUE,2021-12-10,5,1159539.733234718,1929183.918095502,41.961401846,-87.688832623,"(41.961401846278505, -87.6888326227788)",December,2021,49
ASHLAND AND 87TH,2452.0,8700 S ASHLAND AVE,2016-05-19,3,1167150.470087748,1846991.212339794,41.735696989,-87.663209544,"(41.73569698863625, -87.66320954445679)",May,2016,20
HALSTED AND NORTH,1764.0,800 W NORTH AVENUE,2014-07-08,2,1170700.68422007,1910913.190749698,41.91102851,-87.648335806,"(41.91102850981186, -87.64833580602037)",July,2014,28
ROOSEVELT AND HALSTED,2234.0,800 W ROOSEVELT ROAD,2017-06-02,13,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)",June,2017,22
BELMONT AND KEDZIE,1372.0,3200 N KEDZIE AVE,2022-05-05,21,1154426.977874407,1921110.466549542,41.93935173,-87.707846594,"(41.93935173030961, -87.70784659359776)",May,2022,18
LAWRENCE AND CICERO,1041.0,4800 N CICERO AVE,2022-05-04,3,1143464.651785526,1931490.551883203,41.968048007,-87.747875985,"(41.968048007293845, -87.74787598468126)",May,2022,18
SACRAMENTO AND LAKE,1821.0,150 N SACRAMENTO BOUL,2022-09-15,6,1156319.560664766,1900957.489351962,41.884012178,-87.701436479,"(41.88401217771363, -87.7014364786693)",September,2022,37
KEDZIE AND 47TH,2101.0,4700 S KEDZIE AVE,2020-08-20,2,1155791.949302478,1873270.778481327,41.808047272,-87.704118822,"(41.80804727165029, -87.70411882229871)",August,2020,34
WESTERN AND CERMAK,1003.0,2400 W CERMAK ROAD,2017-02-02,3,1160678.000607329,1889375.645335924,41.852141307,-87.685752642,"(41.85214130680468, -87.6857526415569)",February,2017,5
BLUE ISLAND AND DAMEN,2281.0,2416 S DAMEN AVENUE,2014-08-20,5,1163378.697434511,1887916.370760201,41.848080596,-87.675881338,"(41.84808059558783, -87.67588133802435)",August,2014,34
IRVING PARK AND NARRAGANSETT,1023.0,6400 W IRVING PK,2023-08-27,4,1132945.939118726,1925946.304925137,41.953024751,-87.786683238,"(41.95302475075328, -87.78668323766634)",August,2023,34
KEDZIE AND 47TH,2101.0,4700 S KEDZIE AVE,2017-02-05,9,1155791.949302478,1873270.778481327,41.808047272,-87.704118822,"(41.80804727165029, -87.70411882229871)",February,2017,5
CENTRAL AND MILWAUKEE,3032.0,5232 N CENTRAL AVE,2020-04-10,3,1137802.482559734,1934544.360556488,41.976532211,-87.768621661,"(41.976532211352456, -87.76862166095856)",April,2020,15
HALSTED AND DIVISION,1711.0,1200 N HALSTED,2018-10-13,12,1170746.639428735,1908242.256010774,41.903698308,-87.648245351,"(41.90369830765008, -87.64824535062563)",October,2018,41
79TH AND HALSTED,2541.0,7900 S HALSTED STREET,2015-12-28,1,1172298.707400847,1852444.344822186,41.750549559,-87.644188368,"(41.750549559438944, -87.64418836784098)",December,2015,53
HOMAN/KIMBALL AND NORTH,1773.0,3400 W NORTH AVE,2019-08-08,6,1153386.578905125,1910465.87061722,41.910162847,-87.711953868,"(41.91016284680269, -87.71195386769125)",August,2019,32
MILWAUKEE AND DEVON,1272.0,6400 N MILWAUKEE AVEN,2014-08-29,1,1132463.750397878,1942107.911507627,41.997382173,-87.788077674,"(41.99738217345368, -87.78807767391953)",August,2014,35
MADISON AND WESTERN,1934.0,2400 W MADISON,2023-08-16,4,1160384.621277157,1899988.655722373,41.881270504,-87.68653594,"(41.88127050428818, -87.68653594017124)",August,2023,33
CICERO AND I55,2251.0,4200 S CICERO AVENUE,2017-06-04,105,1145023.742859509,1876358.276835519,41.816729387,-87.743536712,"(41.81672938674739, -87.74353671247594)",June,2017,22
HALSTED AND MADISON,1872.0,1 N HALSTED STREET,2018-02-04,2,1171090.967986833,1900270.454015136,41.881815632,-87.647214717,"(41.88181563164203, -87.64721471704077)",February,2018,5
WESTERN AND CERMAK,1002.0,2200 S WESTERN AVENUE,2018-01-09,5,1160669.42562757,1889318.196820393,41.85198384,-87.685785704,"(41.85198383957328, -87.68578570420526)",January,2018,2
31ST ST AND MARTIN LUTHER KING DRIVE,2123.0,400 E 31ST STREET,2020-08-21,6,1179437.985396417,1884565.84226022,41.838534018,-87.617046113,"(41.838534018118914, -87.61704611345726)",August,2020,34
ASHLAND AND IRVING PARK,1151.0,4000 N ASHLAND AVENUE,2014-08-16,4,1164899.463802581,1926665.661118925,41.954379326,-87.66919912,"(41.954379326212695, -87.66919911980419)",August,2014,33
CANAL AND ROOSEVELT,2294.0,500 W ROOSEVELT ROAD,2021-01-27,5,1173290.72186561,1895021.166235495,41.867362693,-87.639293195,"(41.867362692616666, -87.63929319464197)",January,2021,4
SACRAMENTO AND LAKE,1821.0,150 N SACRAMENTO BOUL,2022-11-29,2,1156319.560664766,1900957.489351962,41.884012178,-87.701436479,"(41.88401217771363, -87.7014364786693)",November,2022,48
MADISON AND WESTERN,1934.0,2400 W MADISON,2021-10-05,2,1160384.621277157,1899988.655722373,41.881270504,-87.68653594,"(41.88127050428818, -87.68653594017124)",October,2021,40
KOSTNER AND NORTH,2013.0,4400 W NORTH,2019-02-25,8,1146738.551618032,1910309.595368032,41.909863573,-87.736380296,"(41.90986357340246, -87.73638029605371)",February,2019,9
